Category,Question,Option_A,Option_B
Identity & Psychology,Would you rather be misunderstood or overlooked?,Misunderstood,Overlooked
Identity & Psychology,Would you rather feel everything deeply or nothing at all?,Feel deeply,Feel nothing
Identity & Psychology,Would you rather always doubt yourself or never question yourself?,Doubt yourself,Never question
Identity & Psychology,Would you rather be predictable or confusing to others?,Predictable,Confusing
Identity & Psychology,Would you rather know yourself completely or never fully understand yourself?,Know yourself,Never fully understand
Identity & Psychology,Would you rather be emotionally strong or mentally sharp?,Emotionally strong,Mentally sharp
Identity & Psychology,Would you rather trust your gut or trust logic every time?,Trust gut,Trust logic
Identity & Psychology,Would you rather overthink everything or act without thinking?,Overthink,Act without thinking
Identity & Psychology,Would you rather be self-aware or completely confident?,Self-aware,Confident
Identity & Psychology,Would you rather feel in control or feel free?,In control,Free
Money & Success,Would you rather make $1M quietly or $100K publicly praised?,$1M quietly,$100K praised
Money & Success,Would you rather succeed early or succeed late?,Early,Late
Money & Success,Would you rather be respected for your work or envied for your lifestyle?,Respected work,Envied lifestyle
Money & Success,Would you rather never worry about money or always be driven by it?,Never worry,Always driven
Money & Success,Would you rather be rich and stressed or comfortable and calm?,Rich stressed,Comfortable calm
Money & Success,Would you rather earn everything yourself or inherit success?,Earn it,Inherit it
Money & Success,Would you rather have financial freedom or unlimited opportunity?,Financial freedom,Unlimited opportunity
Money & Success,Would you rather win big once or earn steadily forever?,Win big once,Earn steadily
Money & Success,Would you rather be known as lucky or talented?,Lucky,Talented
Money & Success,Would you rather lose money or lose time?,Lose money,Lose time
Dark / Truth,Would you rather be secretly disliked or openly criticized?,Secretly disliked,Openly criticized
Dark / Truth,Would you rather know who hates you or never find out?,Know,Never find out
Dark / Truth,Would you rather be judged unfairly or ignored completely?,Judged unfairly,Ignored
Dark / Truth,Would you rather expose someone’s secret or protect it forever?,Expose it,Protect it
Dark / Truth,Would you rather be honest and lose people or fake and keep them?,Honest and lose,Fake and keep
Dark / Truth,Would you rather be right alone or wrong with everyone?,Right alone,Wrong with everyone
Dark / Truth,Would you rather disappoint others or disappoint yourself?,Disappoint others,Disappoint yourself
Dark / Truth,Would you rather hide your flaws or reveal them?,Hide flaws,Reveal flaws
Dark / Truth,Would you rather be feared or forgotten?,Feared,Forgotten
Dark / Truth,Would you rather know uncomfortable truths or live peacefully unaware?,Know truths,Peacefully unaware
Social & Relationships,Would you rather be loved deeply by one person or liked by many?,Loved by one,Liked by many
Social & Relationships,Would you rather always say what you feel or always filter yourself?,Say feelings,Filter yourself
Social & Relationships,Would you rather be needed or wanted?,Needed,Wanted
Social & Relationships,Would you rather lead or belong?,Lead,Belong
Social & Relationships,Would you rather always stand out or always fit in?,Stand out,Fit in
Social & Relationships,Would you rather lose your closest friend or never make new ones?,Lose closest friend,Never make new ones
Social & Relationships,Would you rather be emotionally independent or deeply connected?,Independent,Connected
Social & Relationships,Would you rather have fewer real friends or many casual ones?,Fewer real,Many casual
Social & Relationships,Would you rather be understood or admired?,Understood,Admired
Social & Relationships,Would you rather be the funny one or the serious one?,Funny,Serious
Life Tradeoffs,Would you rather have more time or more energy?,More time,More energy
Life Tradeoffs,Would you rather relive your best moment or erase your worst?,Relive best,Erase worst
Life Tradeoffs,Would you rather control your future or fix your past?,Control future,Fix past
Life Tradeoffs,Would you rather know everything or experience everything?,Know everything,Experience everything
Life Tradeoffs,Would you rather have certainty or possibility?,Certainty,Possibility
Life Tradeoffs,Would you rather always play it safe or always take risks?,Play safe,Take risks
Life Tradeoffs,Would you rather be consistent or spontaneous?,Consistent,Spontaneous
Life Tradeoffs,Would you rather feel stable or feel excited?,Stable,Excited
Life Tradeoffs,Would you rather finish everything you start or start everything you want?,Finish everything,Start everything
Life Tradeoffs,Would you rather be comfortable or challenged?,Comfortable,Challenged
Future / Power,Would you rather read minds or influence decisions?,Read minds,Influence decisions
Future / Power,Would you rather pause time or speed it up?,Pause time,Speed it up
Future / Power,Would you rather always know what to say or always know what to do?,Know what to say,Know what to do
Future / Power,Would you rather control your emotions or others’ emotions?,Your emotions,Others’ emotions
Future / Power,Would you rather never feel fear or never feel regret?,No fear,No regret
Future / Power,Would you rather see outcomes or change them?,See outcomes,Change outcomes
Future / Power,Would you rather be invisible or unforgettable?,Invisible,Unforgettable
Future / Power,Would you rather have unlimited knowledge or unlimited influence?,Knowledge,Influence
Future / Power,Would you rather control one person or inspire millions?,Control one,Inspire millions
Future / Power,Would you rather know your purpose or create it?,Know purpose,Create purpose
Self-Perception,Would you rather see yourself how others see you or how you truly are?,How others see you,How you truly are
Self-Perception,Would you rather know your biggest flaw or your biggest strength?,Biggest flaw,Biggest strength
Self-Perception,Would you rather feel confident or be competent?,Feel confident,Be competent
Self-Perception,Would you rather believe in yourself or be validated by others?,Believe in yourself,Validated by others
