ID,Category,Question,Option_A,Option_B
001,Identity & Psychology,Would you rather be misunderstood or overlooked?,Misunderstood,Overlooked
002,Identity & Psychology,Would you rather feel everything deeply or nothing at all?,Feel deeply,Feel nothing
003,Identity & Psychology,Would you rather always doubt yourself or never question yourself?,Doubt yourself,Never question
004,Identity & Psychology,Would you rather be predictable or confusing to others?,Predictable,Confusing
005,Identity & Psychology,Would you rather know yourself completely or never fully understand yourself?,Know yourself,Never fully understand
006,Identity & Psychology,Would you rather be emotionally strong or mentally sharp?,Emotionally strong,Mentally sharp
007,Identity & Psychology,Would you rather trust your gut or trust logic every time?,Trust gut,Trust logic
008,Identity & Psychology,Would you rather overthink everything or act without thinking?,Overthink,Act without thinking
009,Identity & Psychology,Would you rather be self-aware or completely confident?,Self-aware,Confident
010,Identity & Psychology,Would you rather feel in control or feel free?,In control,Free
011,Money & Success,Would you rather make $1M quietly or $100K publicly praised?,$1M quietly,$100K praised
012,Money & Success,Would you rather succeed early or succeed late?,Early,Late
013,Money & Success,Would you rather be respected for your work or envied for your lifestyle?,Respected work,Envied lifestyle
014,Money & Success,Would you rather never worry about money or always be driven by it?,Never worry,Always driven
015,Money & Success,Would you rather be rich and stressed or comfortable and calm?,Rich stressed,Comfortable calm
016,Money & Success,Would you rather earn everything yourself or inherit success?,Earn it,Inherit it
017,Money & Success,Would you rather have financial freedom or unlimited opportunity?,Financial freedom,Unlimited opportunity
018,Money & Success,Would you rather win big once or earn steadily forever?,Win big once,Earn steadily
019,Money & Success,Would you rather be known as lucky or talented?,Lucky,Talented
020,Money & Success,Would you rather lose money or lose time?,Lose money,Lose time
021,Dark / Truth,Would you rather be secretly disliked or openly criticized?,Secretly disliked,Openly criticized
022,Dark / Truth,Would you rather know who hates you or never find out?,Know,Never find out
023,Dark / Truth,Would you rather be judged unfairly or ignored completely?,Judged unfairly,Ignored
024,Dark / Truth,Would you rather expose someone’s secret or protect it forever?,Expose it,Protect it
025,Dark / Truth,Would you rather be honest and lose people or fake and keep them?,Honest and lose,Fake and keep
026,Dark / Truth,Would you rather be right alone or wrong with everyone?,Right alone,Wrong with everyone
027,Dark / Truth,Would you rather disappoint others or disappoint yourself?,Disappoint others,Disappoint yourself
028,Dark / Truth,Would you rather hide your flaws or reveal them?,Hide flaws,Reveal flaws
029,Dark / Truth,Would you rather be feared or forgotten?,Feared,Forgotten
030,Dark / Truth,Would you rather know uncomfortable truths or live peacefully unaware?,Know truths,Peacefully unaware
031,Social & Relationships,Would you rather be loved deeply by one person or liked by many?,Loved by one,Liked by many
032,Social & Relationships,Would you rather always say what you feel or always filter yourself?,Say feelings,Filter yourself
033,Social & Relationships,Would you rather be needed or wanted?,Needed,Wanted
034,Social & Relationships,Would you rather lead or belong?,Lead,Belong
035,Social & Relationships,Would you rather always stand out or always fit in?,Stand out,Fit in
